"","h1n1_concern","h1n1_knowledge","behavioral_antiviral_meds","behavioral_avoidance","behavioral_face_mask","behavioral_wash_hands","behavioral_large_gatherings","behavioral_outside_home","behavioral_touch_face","doctor_recc_h1n1","chronic_med_condition","child_under_6_months","health_worker","opinion_h1n1_vacc_effective","opinion_h1n1_risk","opinion_h1n1_sick_from_vacc","age_group","education","race","sex","income_poverty","marital_status","rent_or_own","employment_status","census_msa","household_adults","household_children","h1n1_vaccine"
"15403",2,1,0,0,0,1,0,0,0,1,1,0,0,4,4,1,"65+ Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,1
"15406",3,1,0,1,0,1,1,1,1,0,1,0,0,5,5,5,"45 - 54 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,0,0
"15408",3,1,0,1,0,1,1,0,1,1,0,0,0,5,4,1,"65+ Years","< 12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,1
"15409",2,1,0,1,0,1,0,0,0,0,0,1,0,3,2,4,"18 - 34 Years","Some College","White","Male","> $75,000","Not Married","Own","Not in Labor Force","Non-MSA",2,1,0
"15410",1,2,0,1,0,1,0,0,1,0,0,0,0,4,1,2,"55 - 64 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"15411",0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,"55 - 64 Years","College Graduate","Other or Multiple","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,0
"15412",1,1,0,1,0,1,0,0,1,0,1,0,0,4,1,2,"18 - 34 Years","Some College","Other or Multiple","Male","> $75,000","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",2,0,0
"15414",1,1,0,1,0,1,0,0,0,0,0,0,0,4,1,4,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"15415",3,0,1,1,0,1,1,1,1,0,1,0,0,5,2,4,"65+ Years","< 12 Years","Black","Female","Below Poverty","Married","Rent","Not in Labor Force","Non-MSA",2,1,1
"15417",1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,"35 - 44 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Rent","Unemployed","MSA, Principle City",1,0,0
"15418",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,4,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",2,1,0
"15419",1,1,0,1,0,1,1,0,1,0,0,1,0,4,1,1,"65+ Years","< 12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"15420",3,1,0,1,0,1,0,0,0,1,1,0,0,5,4,2,"65+ Years","College Graduate","White","Male","> $75,000","Married","Own","Not in Labor Force","Non-MSA",1,0,1
"15422",1,2,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"55 - 64 Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Unemployed","Non-MSA",1,0,0
"15423",3,2,0,1,0,1,0,0,1,1,0,0,0,5,4,1,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"15425",2,1,0,1,0,0,0,0,1,1,0,0,0,4,4,5,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"15428",2,1,0,1,0,1,0,0,0,1,1,0,0,4,4,4,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",2,0,1
"15429",2,2,0,1,0,1,0,0,1,0,0,0,0,4,1,1,"55 - 64 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","Non-MSA",1,0,0
"15430",2,1,0,1,0,1,0,0,1,0,0,0,0,3,2,2,"65+ Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"15431",3,2,0,1,0,1,1,1,1,0,1,0,1,4,4,2,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,0
"15433",1,1,0,1,0,1,1,1,0,0,0,0,0,4,1,2,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"15435",2,1,0,1,0,0,0,0,0,0,0,0,0,4,2,2,"55 - 64 Years","College Graduate","White","Female","> $75,000","Not Married","Own","Employed","MSA, Principle City",0,0,0
"15437",2,1,0,1,0,1,1,0,0,0,1,0,0,4,2,4,"65+ Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,0
"15438",2,0,0,1,0,0,0,1,1,1,0,1,0,4,2,1,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,1
"15441",3,1,1,1,0,1,0,0,1,0,1,1,0,5,5,5,"55 - 64 Years","College Graduate","Black","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",2,0,1
"15442",2,1,0,1,0,1,1,1,0,0,1,0,0,4,2,2,"65+ Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,0
"15444",1,1,0,1,0,1,0,0,1,1,1,0,0,4,1,1,"45 - 54 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",1,0,0
"15445",2,1,0,1,0,1,0,0,1,0,0,0,0,5,1,4,"65+ Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"15446",1,2,0,0,0,1,0,0,1,0,0,0,0,1,1,5,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"15448",3,1,1,1,0,1,1,1,1,0,1,0,0,5,4,4,"65+ Years","12 Years","White","Female","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",0,0,0
"15449",2,1,0,0,0,0,1,1,1,0,1,0,0,4,1,1,"65+ Years","< 12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,0
"15450",2,1,0,1,0,1,1,1,1,1,1,0,0,4,4,4,"65+ Years","12 Years","White","Female","Below Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",0,0,1
"15452",1,1,0,1,0,1,1,1,0,0,0,0,0,4,2,2,"55 - 64 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"15455",1,1,0,1,0,1,0,0,1,0,0,0,0,5,1,4,"18 - 34 Years","College Graduate","White","Male","> $75,000","Not Married","Rent","Employed","MSA, Principle City",0,0,0
"15456",0,1,0,1,0,0,1,0,1,0,0,0,0,3,2,1,"45 - 54 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",1,0,0
"15457",2,1,0,1,0,1,1,1,1,0,1,0,0,4,2,1,"65+ Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Rent","Employed","MSA, Principle City",1,0,0
"15458",2,2,0,1,1,1,0,1,1,0,1,0,0,4,4,4,"55 - 64 Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"15459",1,2,0,1,0,1,0,0,1,0,0,0,0,5,1,1,"55 - 64 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Unemployed","MSA, Principle City",1,0,0
"15460",1,2,0,1,0,1,0,0,1,0,0,0,0,4,2,1,"35 - 44 Years","College Graduate","Other or Multiple","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,1,1
"15461",2,2,0,1,0,1,0,0,0,0,0,0,1,5,4,2,"18 - 34 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"15462",2,1,0,1,0,1,0,0,1,1,0,1,0,5,4,4,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"15467",1,1,0,1,0,1,0,0,1,0,0,0,1,4,2,2,"35 - 44 Years","12 Years","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"15468",2,1,0,1,0,1,1,0,1,1,1,0,0,4,4,4,"35 - 44 Years","< 12 Years","Hispanic","Female","Below Poverty","Not Married","Own","Not in Labor Force","Non-MSA",1,2,0
"15470",3,1,1,1,0,1,1,1,1,0,0,1,0,2,1,5,"45 - 54 Years","12 Years","Black","Female","Below Poverty","Married","Own","Employed","Non-MSA",2,0,0
"15471",3,2,0,1,1,1,1,1,1,1,1,0,1,4,5,4,"18 - 34 Years","12 Years","White","Male","Below Poverty","Not Married","Own","Not in Labor Force","Non-MSA",2,1,1
"15473",1,1,0,1,0,1,0,0,1,0,0,0,0,4,1,2,"18 - 34 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","Non-MSA",1,1,0
"15478",1,1,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",0,0,0
"15479",2,2,1,1,0,1,1,1,1,1,1,0,0,5,4,4,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",0,0,0
"15480",1,1,1,1,1,1,0,0,1,0,0,0,1,2,1,5,"55 - 64 Years","12 Years","Hispanic","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",0,0,1
"15481",2,1,0,0,0,1,1,1,1,1,0,1,0,4,2,2,"18 - 34 Years","Some College","Other or Multiple","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,3,1
"15482",0,1,0,1,0,1,1,1,0,0,0,0,0,2,1,1,"45 - 54 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,0
"15483",3,1,0,1,0,1,1,1,1,1,1,0,0,5,4,5,"45 - 54 Years","< 12 Years","Black","Male","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",0,0,0
"15484",2,1,0,1,0,1,0,0,1,0,1,0,0,2,2,4,"18 - 34 Years","< 12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",1,1,0
"15486",3,2,0,1,0,1,1,0,1,0,1,0,0,4,4,5,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,0
"15487",1,1,0,1,0,1,1,1,1,0,1,0,0,4,1,1,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"15488",1,1,0,0,0,1,0,0,0,0,0,0,0,5,1,1,"65+ Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",0,0,0
"15489",2,1,0,0,0,0,0,0,1,0,0,0,0,4,4,1,"65+ Years","Some College","White","Male","Below Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,0,0
"15491",2,1,0,1,0,1,1,0,1,0,0,0,0,4,2,2,"45 - 54 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,0
"15492",0,2,0,0,0,1,0,0,1,0,1,0,1,5,1,1,"18 - 34 Years","College Graduate","White","Male","> $75,000","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",1,1,1
"15493",1,2,0,1,0,1,1,0,1,0,0,1,0,5,5,4,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,0
"15494",1,1,0,0,0,1,0,0,1,0,0,0,0,4,1,1,"45 - 54 Years","12 Years","White","Male","> $75,000","Not Married","Own","Employed","MSA, Not Principle  City",0,0,0
"15496",1,1,0,0,0,1,0,0,0,0,0,0,0,4,1,2,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"15497",1,1,0,0,0,1,0,0,0,0,0,0,0,4,1,1,"18 - 34 Years","Some College","Other or Multiple","Male","> $75,000","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",3,0,0
"15498",2,1,0,1,0,0,1,0,1,0,1,0,0,4,2,4,"55 - 64 Years","12 Years","Black","Male","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"15499",0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,"35 - 44 Years","Some College","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,3,0
"15500",0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,5,"65+ Years","Some College","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"15501",0,2,0,0,0,0,0,0,0,0,0,0,1,4,1,5,"45 - 54 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",2,2,0
"15502",1,2,0,1,0,1,0,0,1,0,0,0,1,4,2,2,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",2,0,0
"15504",1,1,0,1,0,1,0,0,1,0,1,0,0,3,1,2,"45 - 54 Years","Some College","White","Female","> $75,000","Married","Own","Employed","Non-MSA",1,2,0
"15505",2,1,0,1,0,1,1,1,1,1,0,0,0,5,1,1,"55 - 64 Years","College Graduate","Other or Multiple","Female","> $75,000","Married","Own","Employed","MSA, Principle City",3,0,0
"15506",2,1,1,1,0,1,1,1,1,0,0,0,0,1,1,2,"55 - 64 Years","12 Years","Black","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,0,0
"15507",3,1,0,1,0,1,1,1,1,0,0,0,0,4,2,4,"45 - 54 Years","Some College","Black","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,1,0
"15509",1,1,0,0,0,0,0,0,0,0,1,0,0,5,1,1,"18 - 34 Years","< 12 Years","Other or Multiple","Female","Below Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",1,3,1
"15511",2,2,0,1,0,1,0,0,1,0,0,0,0,5,2,2,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",3,0,0
"15512",2,1,0,1,0,1,1,1,1,0,0,0,0,3,4,4,"18 - 34 Years","College Graduate","Hispanic","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",1,0,0
"15513",0,2,0,1,0,1,0,0,1,0,1,0,0,3,1,2,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,0,0
"15514",2,2,0,1,0,1,0,0,0,1,0,0,0,2,2,2,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",3,1,0
"15515",2,1,0,1,0,1,0,0,1,0,0,1,1,5,2,1,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,1,0
"15516",0,2,0,1,0,1,0,0,0,0,1,0,0,5,1,4,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"15517",2,0,0,1,0,1,1,1,0,0,1,0,0,4,3,2,"65+ Years","< 12 Years","Black","Male","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",0,0,0
"15518",2,2,0,1,0,1,0,0,1,0,0,0,0,5,1,4,"45 - 54 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,0
"15519",3,2,0,1,0,1,1,0,1,0,1,0,1,5,4,4,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"15520",2,1,0,1,0,1,0,1,1,0,1,0,0,4,1,5,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,0,0
"15521",2,1,0,1,0,1,0,0,1,0,0,0,1,4,1,2,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,0,0
"15522",3,0,1,0,0,1,0,0,0,0,0,1,0,4,2,5,"18 - 34 Years","12 Years","Hispanic","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",0,0,0
"15524",2,1,0,1,0,1,0,0,1,0,0,0,0,4,1,2,"18 - 34 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"15527",1,1,0,1,0,1,0,0,0,0,0,0,0,4,1,1,"35 - 44 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"15528",0,2,0,0,0,1,0,0,1,0,1,0,0,4,2,2,"35 - 44 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,3,0
"15529",1,2,0,0,0,1,0,0,1,0,0,0,1,4,2,2,"18 - 34 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",2,0,0
"15530",2,2,0,1,0,1,0,0,1,1,0,0,0,5,4,4,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Principle City",2,2,1
"15531",3,0,0,1,0,1,1,1,1,0,0,0,0,3,2,2,"18 - 34 Years","12 Years","Other or Multiple","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"15532",0,2,0,0,0,0,0,0,0,0,0,0,1,4,1,2,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,1,0
"15533",1,1,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"55 - 64 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,0
"15534",0,2,0,1,0,1,1,1,1,0,1,0,0,4,1,1,"55 - 64 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",2,0,0
"15535",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,"45 - 54 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,2,0
"15536",0,1,0,1,1,1,0,0,0,0,0,0,0,3,3,1,"45 - 54 Years","< 12 Years","White","Female","<= $75,000, Above Poverty","Married","Rent","Not in Labor Force","MSA, Principle City",2,1,0
"15537",3,2,0,1,0,1,1,1,1,1,0,0,0,5,5,2,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,1
"15539",1,1,0,1,0,0,0,0,0,1,1,0,0,4,2,2,"18 - 34 Years","College Graduate","White","Male","Below Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",0,0,1
"15541",2,2,0,0,0,1,0,0,0,1,0,0,0,5,4,4,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","Non-MSA",1,2,0
"15543",2,2,0,1,0,0,0,0,1,0,1,0,0,4,2,4,"65+ Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,0
"15544",3,2,0,1,1,1,1,1,1,1,0,0,0,5,5,5,"18 - 34 Years","Some College","Other or Multiple","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,3,0
"15547",0,2,0,1,0,1,0,0,0,0,0,0,0,4,2,2,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",3,0,0
"15548",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"55 - 64 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"15550",3,1,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"18 - 34 Years","12 Years","Black","Male","Below Poverty","Not Married","Rent","Employed","MSA, Principle City",1,0,0
"15552",3,2,0,1,0,1,0,1,1,0,1,0,0,2,2,2,"65+ Years","< 12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,1,0
"15553",3,1,0,1,0,1,1,1,1,0,0,0,0,5,4,4,"35 - 44 Years","College Graduate","Other or Multiple","Male","<= $75,000, Above Poverty","Not Married","Own","Unemployed","MSA, Not Principle  City",0,0,0
"15554",3,1,0,1,1,1,0,1,1,0,0,0,0,4,1,2,"55 - 64 Years","College Graduate","Other or Multiple","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",2,0,0
"15555",3,1,0,1,1,1,1,1,1,1,0,0,0,5,4,2,"45 - 54 Years","12 Years","White","Female","Below Poverty","Married","Own","Unemployed","Non-MSA",0,1,1
"15556",3,0,0,1,0,1,0,1,1,1,1,0,0,5,4,4,"45 - 54 Years","12 Years","Black","Male","Below Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",0,0,1
"15557",2,2,0,0,0,1,0,0,0,0,0,0,0,4,4,4,"18 - 34 Years","Some College","Hispanic","Female","Below Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",2,2,1
"15558",0,2,1,1,1,1,0,1,1,1,1,0,0,1,1,2,"55 - 64 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,0,0
"15559",2,0,0,1,0,1,1,1,1,0,0,0,0,4,2,4,"45 - 54 Years","Some College","Black","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",1,1,0
"15560",1,2,0,1,0,1,0,0,1,1,0,1,0,4,2,2,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Unemployed","MSA, Not Principle  City",1,1,1
"15561",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,4,"65+ Years","College Graduate","Black","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"15562",2,1,0,1,0,1,1,0,1,0,0,0,1,4,2,4,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,2,0
"15565",2,2,0,1,0,1,1,1,1,0,0,0,0,4,2,5,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"15566",2,2,0,1,0,1,1,1,1,0,1,0,1,4,1,2,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,1,1
"15567",1,1,0,1,0,1,1,1,1,1,1,0,0,2,1,1,"45 - 54 Years","Some College","Black","Female","> $75,000","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,0,0
"15568",2,2,1,1,0,1,1,1,1,0,0,0,0,4,4,2,"18 - 34 Years","Some College","Hispanic","Male","> $75,000","Not Married","Rent","Employed","MSA, Principle City",2,0,0
"15569",1,2,0,0,0,1,0,0,0,0,1,0,0,5,2,2,"55 - 64 Years","Some College","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",1,1,0
"15570",0,1,0,0,0,0,0,0,1,0,0,0,0,3,2,2,"18 - 34 Years","12 Years","White","Male","Below Poverty","Not Married","Rent","Employed","Non-MSA",0,0,0
"15571",3,2,0,1,0,1,0,0,1,0,0,0,0,3,2,4,"18 - 34 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","Non-MSA",1,1,0
"15572",2,1,0,1,0,1,1,0,1,0,0,0,0,4,2,4,"45 - 54 Years","12 Years","Hispanic","Female","Below Poverty","Married","Rent","Employed","MSA, Principle City",1,0,0
"15573",0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,"35 - 44 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",2,0,0
"15575",2,1,1,1,0,1,1,1,1,0,0,0,0,5,2,2,"65+ Years","12 Years","White","Female","> $75,000","Not Married","Own","Employed","MSA, Not Principle  City",2,3,0
"15578",1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,"18 - 34 Years","College Graduate","White","Female","> $75,000","Not Married","Rent","Employed","MSA, Principle City",0,0,0
"15580",2,1,0,1,0,1,0,0,1,1,1,0,0,4,4,4,"45 - 54 Years","Some College","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"15582",3,1,0,1,0,1,0,0,1,0,1,0,0,4,4,4,"65+ Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",1,0,0
"15583",1,1,0,0,0,1,0,0,0,0,1,0,0,3,1,2,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",2,0,0
"15584",2,2,0,1,0,1,0,0,1,0,0,0,1,4,2,2,"45 - 54 Years","College Graduate","White","Female","> $75,000","Not Married","Own","Employed","MSA, Principle City",0,0,0
"15585",2,2,0,1,0,1,0,0,1,0,1,0,0,5,1,1,"65+ Years","< 12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"15586",2,2,0,0,0,1,0,0,1,1,1,1,1,4,4,1,"55 - 64 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,1
"15587",2,2,0,1,1,1,1,1,1,0,0,0,0,4,2,2,"55 - 64 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"15590",3,2,0,1,0,1,1,0,1,0,0,1,0,5,4,5,"55 - 64 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"15595",2,1,0,1,0,1,0,0,1,0,0,0,1,4,4,4,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,1
"15597",1,0,0,1,0,0,0,1,1,0,0,0,0,3,2,4,"45 - 54 Years","< 12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"15598",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,"45 - 54 Years","12 Years","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"15599",3,1,0,1,0,1,0,0,1,0,0,0,0,3,2,4,"45 - 54 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",2,2,0
"15601",1,2,0,1,0,1,1,0,1,0,0,0,0,5,2,1,"18 - 34 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",2,0,0
"15603",1,1,0,1,0,0,0,0,0,0,0,0,0,3,1,1,"18 - 34 Years","Some College","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,0,1
"15604",0,2,0,1,0,0,0,0,1,0,0,0,0,1,1,4,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",0,0,0
"15605",0,1,0,1,0,1,0,0,0,0,1,0,1,5,2,4,"18 - 34 Years","12 Years","White","Female","> $75,000","Married","Own","Employed","MSA, Principle City",1,3,1
"15607",1,1,0,1,0,1,0,1,1,0,0,0,0,2,1,1,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,0
